"","SubjectID_unique","SubjectID","Gender","Age","Image_1","Image_2","Prop_red_image_1","Prop_red_image_2","Prop_yellow_image_1","Prop_yellow_image_2","Prop_green_image_1","Prop_green_image_2","Prop_blue_image_1","Prop_blue_image_2","Response","Joint","Correct","Correct_joint","RT","RT_joint","Round","Block","group_id","diff","response_dummy","response_joint_dummy","chosen_leader","Leader_gender","Follower_gender","leader_behavior","Intercept","Slope","skill_dif","Side"
"811","29_1","29","Male",23,"Stim\r14y10g15b15.jpeg","Stim\r15y05g12b10.jpeg",14,15,10,5,15,12,15,10,1,1,0,0,1.994,5.364,1,"grøn","29_32",-3,1,1,"Left_lead","Male","Female","stick",0.625724705083543,0.207176939866453,1.00618420345832,"left"
"814","29_1","29","Male",23,"Stim\r19y10g06b15.jpeg","Stim\r12y07g07b17.jpeg",19,12,10,7,6,7,15,17,-1,1,0,1,3.816,4.146,1,"grøn","29_32",1,0,1,"Left_lead","Male","Female","surrender",0.625724705083543,0.207176939866453,1.00618420345832,"left"
"816","29_1","29","Male",23,"Stim\r04y28g27b06.jpeg","Stim\r09y15g18b07.jpeg",4,9,28,15,27,18,6,7,3,-1,0,1,1.696,2.015,1,"grøn","29_32",-9,1,0,"Left_lead","Male","Female","surrender",0.625724705083543,0.207176939866453,1.00618420345832,"left"
"820","30_2","30","Female",24,"Stim\r16y21g04b04.jpeg","Stim\r17y07g07b24.jpeg",16,17,21,7,4,7,4,24,2,-1,1,0,2.148,3.105,2,"rød","30_32",1,1,0,"Left_lead","Female","Female","surrender",-0.155465879394077,0.217756324029365,1.012494381309,"left"
"823","30_2","30","Female",24,"Stim\r17y22g16b15.jpeg","Stim\r10y13g07b36.jpeg",17,10,22,13,16,7,15,36,-1,1,1,0,1.7,4.575,2,"rød","30_32",-7,0,1,"Left_lead","Female","Female","surrender",-0.155465879394077,0.217756324029365,1.012494381309,"left"
"825","30_2","30","Female",24,"Stim\r05y28g23b30.jpeg","Stim\r03y06g12b09.jpeg",5,3,28,6,23,12,30,9,-2,1,1,0,1.549,4.219,2,"rød","30_32",-2,0,1,"Left_lead","Female","Female","surrender",-0.155465879394077,0.217756324029365,1.012494381309,"left"
"826","30_2","30","Female",24,"Stim\r18y13g28b06.jpeg","Stim\r17y20g40b07.jpeg",18,17,13,20,28,40,6,7,-1,1,1,0,2.586,1.856,2,"rød","30_32",-1,0,1,"Left_lead","Female","Female","surrender",-0.155465879394077,0.217756324029365,1.012494381309,"left"
"827","30_2","30","Female",24,"Stim\r15y16g12b03.jpeg","Stim\r22y23g20b06.jpeg",15,22,16,23,12,20,3,6,-2,1,0,1,1.501,6.231,2,"blå","30_32",3,0,1,"Left_lead","Female","Female","surrender",-0.155465879394077,0.217756324029365,1.012494381309,"left"
"828","30_2","30","Female",24,"Stim\r20y14g02b19.jpeg","Stim\r13y33g08b23.jpeg",20,13,14,33,2,8,19,23,-1,1,0,1,1.958,1.649,2,"blå","30_32",4,0,1,"Left_lead","Female","Female","surrender",-0.155465879394077,0.217756324029365,1.012494381309,"left"
"831","30_2","30","Female",24,"Stim\r11y14g08b23.jpeg","Stim\r06y14g31b25.jpeg",11,6,14,14,8,31,23,25,2,-1,1,0,3.564,2.036,2,"blå","30_32",2,1,0,"Left_lead","Female","Female","surrender",-0.155465879394077,0.217756324029365,1.012494381309,"left"
"833","30_2","30","Female",24,"Stim\r17y11g38b07.jpeg","Stim\r06y14g31b25.jpeg",17,6,11,14,38,31,7,25,-2,1,0,1,1.82,1.511,2,"gul","30_32",3,0,1,"Left_lead","Female","Female","surrender",-0.155465879394077,0.217756324029365,1.012494381309,"left"
"834","30_2","30","Female",24,"Stim\r09y17g32b21.jpeg","Stim\r18y19g14b27.jpeg",9,18,17,19,32,14,21,27,2,-1,1,0,2.232,3.334,2,"gul","30_32",2,1,0,"Left_lead","Female","Female","surrender",-0.155465879394077,0.217756324029365,1.012494381309,"left"
"837","30_2","30","Female",24,"Stim\r08y23g10b29.jpeg","Stim\r18y19g14b27.jpeg",8,18,23,19,10,14,29,27,2,-1,0,1,2.097,4.827,2,"gul","30_32",-4,1,0,"Left_lead","Female","Female","surrender",-0.155465879394077,0.217756324029365,1.012494381309,"left"
"838","30_2","30","Female",24,"Stim\r02y10g14b11.jpeg","Stim\r11y14g08b23.jpeg",2,11,10,14,14,8,11,23,-2,1,0,1,2.023,1.667,2,"gul","30_32",4,0,1,"Left_lead","Female","Female","surrender",-0.155465879394077,0.217756324029365,1.012494381309,"left"
"839","30_2","30","Female",24,"Stim\r09y02g05b02.jpeg","Stim\r20y04g39b23.jpeg",9,20,2,4,5,39,2,23,1,1,1,1,4.001,3.992,2,"gul","30_32",2,1,1,"Left_lead","Female","Female","stick",-0.155465879394077,0.217756324029365,1.012494381309,"left"
"840","30_2","30","Female",24,"Stim\r13y33g08b23.jpeg","Stim\r06y36g16b14.jpeg",13,6,33,36,8,16,23,14,-1,1,0,1,1.804,3.931,2,"gul","30_32",3,0,1,"Left_lead","Female","Female","surrender",-0.155465879394077,0.217756324029365,1.012494381309,"left"
"845","30_2","30","Female",24,"Stim\r17y12g19b18.jpeg","Stim\r14y20g16b10.jpeg",17,14,12,20,19,16,18,10,-2,1,1,0,2.919,2.203,2,"grøn","30_32",-3,0,1,"Left_lead","Female","Female","surrender",-0.155465879394077,0.217756324029365,1.012494381309,"left"
"846","30_2","30","Female",24,"Stim\r22y23g20b06.jpeg","Stim\r21y24g16b04.jpeg",22,21,23,24,20,16,6,4,1,-1,0,1,1.678,3.262,2,"grøn","30_32",-4,1,0,"Left_lead","Female","Female","surrender",-0.155465879394077,0.217756324029365,1.012494381309,"left"
"847","30_2","30","Female",24,"Stim\r10y07g11b10.jpeg","Stim\r15y16g12b03.jpeg",10,15,7,16,11,12,10,3,2,-1,1,0,2.268,1.583,2,"grøn","30_32",1,1,0,"Left_lead","Female","Female","surrender",-0.155465879394077,0.217756324029365,1.012494381309,"left"
"851","33_1","33","Male",24,"Stim\r10y07g11b10.jpeg","Stim\r12y07g07b17.jpeg",10,12,7,7,11,7,10,17,2,1,1,1,3.402,5.18,1,"rød","33_35",2,1,1,"Left_lead","Male","Male","stick",-0.0814646398663507,0.21852221356304,1.00052749281459,"left"
"852","33_1","33","Male",24,"Stim\r22y02g34b05.jpeg","Stim\r19y10g06b15.jpeg",22,19,2,10,34,6,5,15,-2,-1,1,1,2.235,7.379,1,"rød","33_35",-3,0,0,"Left_lead","Male","Male","stick",-0.0814646398663507,0.21852221356304,1.00052749281459,"left"
"856","33_1","33","Male",24,"Stim\r04y28g27b06.jpeg","Stim\r05y40g33b16.jpeg",4,5,28,40,27,33,6,16,-2,-1,0,0,2.969,2.911,1,"rød","33_35",1,0,0,"Left_lead","Male","Male","stick",-0.0814646398663507,0.21852221356304,1.00052749281459,"left"
"857","33_1","33","Male",24,"Stim\r10y37g07b02.jpeg","Stim\r04y39g24b15.jpeg",10,4,37,39,7,24,2,15,-2,1,1,0,2.002,4.919,1,"rød","33_35",-6,0,1,"Left_lead","Male","Male","surrender",-0.0814646398663507,0.21852221356304,1.00052749281459,"left"
"859","33_1","33","Male",24,"Stim\r14y10g15b15.jpeg","Stim\r12y09g30b18.jpeg",14,12,10,9,15,30,15,18,3,-1,1,0,2.792,5.185,1,"blå","33_35",3,1,0,"Left_lead","Male","Male","surrender",-0.0814646398663507,0.21852221356304,1.00052749281459,"left"
"860","33_1","33","Male",24,"Stim\r13y21g23b09.jpeg","Stim\r22y35g09b11.jpeg",13,22,21,35,23,9,9,11,-2,-1,0,0,2.206,2.835,1,"blå","33_35",2,0,0,"Left_lead","Male","Male","stick",-0.0814646398663507,0.21852221356304,1.00052749281459,"left"
"862","33_1","33","Male",24,"Stim\r16y21g04b04.jpeg","Stim\r09y02g05b02.jpeg",16,9,21,2,4,5,4,2,-1,-1,1,1,2.668,3.833,1,"blå","33_35",-2,0,0,"Left_lead","Male","Male","stick",-0.0814646398663507,0.21852221356304,1.00052749281459,"left"
"866","33_1","33","Male",24,"Stim\r14y08g21b39.jpeg","Stim\r10y13g07b36.jpeg",14,10,8,13,21,7,39,36,-3,1,1,0,1.614,5.233,1,"blå","33_35",-3,0,1,"Left_lead","Male","Male","surrender",-0.0814646398663507,0.21852221356304,1.00052749281459,"left"
"867","33_1","33","Male",24,"Stim\r22y23g20b06.jpeg","Stim\r16y21g04b04.jpeg",22,16,23,21,20,4,6,4,-1,-1,1,1,1.985,4.796,1,"blå","33_35",-2,0,0,"Left_lead","Male","Male","stick",-0.0814646398663507,0.21852221356304,1.00052749281459,"left"
"869","33_1","33","Male",24,"Stim\r16y09g06b10.jpeg","Stim\r09y06g26b32.jpeg",16,9,9,6,6,26,10,32,1,-1,0,1,2.891,3.015,1,"gul","33_35",-3,1,0,"Left_lead","Male","Male","surrender",-0.0814646398663507,0.21852221356304,1.00052749281459,"left"
"870","33_1","33","Male",24,"Stim\r10y07g11b10.jpeg","Stim\r15y05g12b10.jpeg",10,15,7,5,11,12,10,10,2,1,0,0,2.645,1.741,1,"gul","33_35",-2,1,1,"Left_lead","Male","Male","stick",-0.0814646398663507,0.21852221356304,1.00052749281459,"left"
"873","33_1","33","Male",24,"Stim\r21y24g16b04.jpeg","Stim\r08y12g20b03.jpeg",21,8,24,12,16,20,4,3,1,1,1,1,1.689,2.654,1,"grøn","33_35",4,1,1,"Left_lead","Male","Male","stick",-0.0814646398663507,0.21852221356304,1.00052749281459,"left"
"874","33_1","33","Male",24,"Stim\r17y07g07b24.jpeg","Stim\r08y23g10b29.jpeg",17,8,7,23,7,10,24,29,-2,1,0,1,3.596,2.32,1,"grøn","33_35",3,0,1,"Left_lead","Male","Male","surrender",-0.0814646398663507,0.21852221356304,1.00052749281459,"left"
"876","33_1","33","Male",24,"Stim\r03y11g01b26.jpeg","Stim\r16y21g04b04.jpeg",3,16,11,21,1,4,26,4,2,1,1,1,1.594,1.342,1,"grøn","33_35",3,1,1,"Left_lead","Male","Male","stick",-0.0814646398663507,0.21852221356304,1.00052749281459,"left"
"877","33_1","33","Male",24,"Stim\r10y27g22b14.jpeg","Stim\r22y23g20b06.jpeg",10,22,27,23,22,20,14,6,1,-1,0,1,1.947,1.524,1,"grøn","33_35",-2,1,0,"Left_lead","Male","Male","surrender",-0.0814646398663507,0.21852221356304,1.00052749281459,"left"
"880","34_2","34","Female",23,"Stim\r19y15g35b05.jpeg","Stim\r17y11g38b07.jpeg",19,17,15,11,35,38,5,7,3,-1,0,1,1.072,4.326,2,"rød","34_35",-2,1,0,"Left_lead","Female","Male","surrender",0.986626908063953,0.196643563217927,0.90901249318091,"left"
"882","34_2","34","Female",23,"Stim\r10y13g07b36.jpeg","Stim\r12y07g07b17.jpeg",10,12,13,7,7,7,36,17,-2,1,0,1,1.743,2.342,2,"rød","34_35",2,0,1,"Left_lead","Female","Male","surrender",0.986626908063953,0.196643563217927,0.90901249318091,"left"
"883","34_2","34","Female",23,"Stim\r17y22g16b15.jpeg","Stim\r18y13g28b06.jpeg",17,18,22,13,16,28,15,6,3,-1,1,0,1.151,5.165,2,"rød","34_35",1,1,0,"Left_lead","Female","Male","surrender",0.986626908063953,0.196643563217927,0.90901249318091,"left"
"884","34_2","34","Female",23,"Stim\r07y14g27b22.jpeg","Stim\r11y10g06b19.jpeg",7,11,14,10,27,6,22,19,-2,1,0,1,3.239,4.321,2,"rød","34_35",4,0,1,"Left_lead","Female","Male","surrender",0.986626908063953,0.196643563217927,0.90901249318091,"left"
"885","34_2","34","Female",23,"Stim\r12y07g07b17.jpeg","Stim\r08y12g20b03.jpeg",12,8,7,12,7,20,17,3,2,-1,0,1,2.255,2.119,2,"rød","34_35",-4,1,0,"Left_lead","Female","Male","surrender",0.986626908063953,0.196643563217927,0.90901249318091,"left"
"887","34_2","34","Female",23,"Stim\r11y13g22b35.jpeg","Stim\r10y13g07b36.jpeg",11,10,13,13,22,7,35,36,2,-1,1,0,1.208,1.716,2,"blå","34_35",1,1,0,"Left_lead","Female","Male","surrender",0.986626908063953,0.196643563217927,0.90901249318091,"left"
"891","34_2","34","Female",23,"Stim\r09y15g18b07.jpeg","Stim\r06y19g29b08.jpeg",9,6,15,19,18,29,7,8,2,-1,1,0,1.814,2.937,2,"blå","34_35",1,1,0,"Left_lead","Female","Male","surrender",0.986626908063953,0.196643563217927,0.90901249318091,"left"
"897","34_2","34","Female",23,"Stim\r15y17g24b30.jpeg","Stim\r13y21g23b09.jpeg",15,13,17,21,24,23,30,9,3,1,1,1,1.295,3.242,2,"gul","34_35",4,1,1,"Left_lead","Female","Male","stick",0.986626908063953,0.196643563217927,0.90901249318091,"left"
"898","34_2","34","Female",23,"Stim\r12y07g16b25.jpeg","Stim\r11y10g06b19.jpeg",12,11,7,10,16,6,25,19,1,-1,1,0,3.7,4.334,2,"gul","34_35",3,1,0,"Left_lead","Female","Male","surrender",0.986626908063953,0.196643563217927,0.90901249318091,"left"
"900","34_2","34","Female",23,"Stim\r20y14g02b19.jpeg","Stim\r07y06g08b05.jpeg",20,7,14,6,2,8,19,5,3,-1,0,1,1.621,2.365,2,"gul","34_35",-8,1,0,"Left_lead","Female","Male","surrender",0.986626908063953,0.196643563217927,0.90901249318091,"left"
"902","34_2","34","Female",23,"Stim\r20y14g02b19.jpeg","Stim\r14y12g04b29.jpeg",20,14,14,12,2,4,19,29,3,-1,1,0,1.408,3.058,2,"grøn","34_35",2,1,0,"Left_lead","Female","Male","surrender",0.986626908063953,0.196643563217927,0.90901249318091,"left"
"903","34_2","34","Female",23,"Stim\r07y06g08b05.jpeg","Stim\r13y24g05b28.jpeg",7,13,6,24,8,5,5,28,3,1,0,0,1.272,1.526,2,"grøn","34_35",-3,1,1,"Left_lead","Female","Male","stick",0.986626908063953,0.196643563217927,0.90901249318091,"left"
"904","34_2","34","Female",23,"Stim\r22y35g09b11.jpeg","Stim\r17y22g16b15.jpeg",22,17,35,22,9,16,11,15,4,1,1,1,1.253,6.327,2,"grøn","34_35",7,1,1,"Left_lead","Female","Male","stick",0.986626908063953,0.196643563217927,0.90901249318091,"left"
"905","34_2","34","Female",23,"Stim\r04y28g27b06.jpeg","Stim\r09y15g18b07.jpeg",4,9,28,15,27,18,6,7,2,-1,0,1,0.994,1.415,2,"grøn","34_35",-9,1,0,"Left_lead","Female","Male","surrender",0.986626908063953,0.196643563217927,0.90901249318091,"left"
"907","34_2","34","Female",23,"Stim\r17y11g38b07.jpeg","Stim\r22y02g34b05.jpeg",17,22,11,2,38,34,7,5,2,-1,0,1,2.05,1.375,2,"grøn","34_35",-4,1,0,"Left_lead","Female","Male","surrender",0.986626908063953,0.196643563217927,0.90901249318091,"left"
"908","34_2","34","Female",23,"Stim\r11y14g08b23.jpeg","Stim\r16y21g04b04.jpeg",11,16,14,21,8,4,23,4,2,1,0,0,1.945,4.883,2,"grøn","34_35",-4,1,1,"Left_lead","Female","Male","stick",0.986626908063953,0.196643563217927,0.90901249318091,"left"
"909","34_2","34","Female",23,"Stim\r15y17g24b30.jpeg","Stim\r12y09g30b18.jpeg",15,12,17,9,24,30,30,18,2,-1,1,0,1.203,1.354,2,"grøn","34_35",6,1,0,"Left_lead","Female","Male","surrender",0.986626908063953,0.196643563217927,0.90901249318091,"left"
"914","34_1","34","Female",23,"Stim\r09y07g06b09.jpeg","Stim\r11y26g25b38.jpeg",9,11,7,26,6,25,9,38,1,-1,1,0,3.951,14.002,1,"rød","34_36",2,1,0,"Left_lead","Female","Female","surrender",0.746028507116085,0.203330149934398,0.985795326993629,"left"
"916","34_1","34","Female",23,"Stim\r08y12g20b03.jpeg","Stim\r11y13g22b35.jpeg",8,11,12,13,20,22,3,35,2,1,1,1,4.018,8.55,1,"rød","34_36",3,1,1,"Left_lead","Female","Female","stick",0.746028507116085,0.203330149934398,0.985795326993629,"left"
"918","34_1","34","Female",23,"Stim\r21y01g04b27.jpeg","Stim\r17y20g40b07.jpeg",21,17,1,20,4,40,27,7,4,1,0,0,1.413,3.71,1,"rød","34_36",-4,1,1,"Left_lead","Female","Female","stick",0.746028507116085,0.203330149934398,0.985795326993629,"left"
"919","34_1","34","Female",23,"Stim\r13y33g08b23.jpeg","Stim\r09y17g32b21.jpeg",13,9,33,17,8,32,23,21,2,1,0,0,1.575,5.862,1,"rød","34_36",-4,1,1,"Left_lead","Female","Female","stick",0.746028507116085,0.203330149934398,0.985795326993629,"left"
"920","34_1","34","Female",23,"Stim\r20y14g02b19.jpeg","Stim\r17y07g07b24.jpeg",20,17,14,7,2,7,19,24,-2,1,1,0,1.842,2.86,1,"rød","34_36",-3,0,1,"Left_lead","Female","Female","surrender",0.746028507116085,0.203330149934398,0.985795326993629,"left"
"921","34_1","34","Female",23,"Stim\r06y14g31b25.jpeg","Stim\r10y02g36b05.jpeg",6,10,14,2,31,36,25,5,2,1,1,1,2.308,3.062,1,"rød","34_36",4,1,1,"Left_lead","Female","Female","stick",0.746028507116085,0.203330149934398,0.985795326993629,"left"
"926","34_1","34","Female",23,"Stim\r12y07g07b17.jpeg","Stim\r19y10g06b15.jpeg",12,19,7,10,7,6,17,15,2,-1,0,1,3.565,2.497,1,"blå","34_36",-2,1,0,"Left_lead","Female","Female","surrender",0.746028507116085,0.203330149934398,0.985795326993629,"left"
"927","34_1","34","Female",23,"Stim\r10y03g03b07.jpeg","Stim\r09y06g26b32.jpeg",10,9,3,6,3,26,7,32,-2,1,0,1,2.338,7.727,1,"gul","34_36",3,0,1,"Left_lead","Female","Female","surrender",0.746028507116085,0.203330149934398,0.985795326993629,"left"
"929","34_1","34","Female",23,"Stim\r10y13g07b36.jpeg","Stim\r19y15g35b05.jpeg",10,19,13,15,7,35,36,5,3,-1,1,0,1.324,2.796,1,"gul","34_36",2,1,0,"Left_lead","Female","Female","surrender",0.746028507116085,0.203330149934398,0.985795326993629,"left"
"933","34_1","34","Female",23,"Stim\r15y17g24b30.jpeg","Stim\r20y14g02b19.jpeg",15,20,17,14,24,2,30,19,-2,1,1,0,3.177,8.675,1,"gul","34_36",-3,0,1,"Left_lead","Female","Female","surrender",0.746028507116085,0.203330149934398,0.985795326993629,"left"
"937","34_1","34","Female",23,"Stim\r14y10g15b15.jpeg","Stim\r06y36g16b14.jpeg",14,6,10,36,15,16,15,14,-2,-1,0,0,2.009,3.712,1,"grøn","34_36",1,0,0,"Left_lead","Female","Female","stick",0.746028507116085,0.203330149934398,0.985795326993629,"left"
"939","34_1","34","Female",23,"Stim\r05y28g23b30.jpeg","Stim\r15y17g24b30.jpeg",5,15,28,17,23,24,30,30,2,-1,1,0,1.322,2.712,1,"grøn","34_36",1,1,0,"Left_lead","Female","Female","surrender",0.746028507116085,0.203330149934398,0.985795326993629,"left"
"941","34_1","34","Female",23,"Stim\r05y40g33b16.jpeg","Stim\r10y02g36b05.jpeg",5,10,40,2,33,36,16,5,3,-1,1,0,5.154,7.897,1,"grøn","34_36",3,1,0,"Left_lead","Female","Female","surrender",0.746028507116085,0.203330149934398,0.985795326993629,"left"
"943","33_2","33","Male",24,"Stim\r15y05g12b10.jpeg","Stim\r12y07g16b25.jpeg",15,12,5,7,12,16,10,25,-2,-1,1,1,1.33,2.28,2,"rød","33_36",-3,0,0,"Left_lead","Male","Female","stick",-0.107318490291677,0.230953005900399,1.10328637680018,"left"
"944","33_2","33","Male",24,"Stim\r02y19g24b04.jpeg","Stim\r03y11g01b26.jpeg",2,3,19,11,24,1,4,26,-1,1,0,1,2.685,1.197,2,"rød","33_36",1,0,1,"Left_lead","Male","Female","surrender",-0.107318490291677,0.230953005900399,1.10328637680018,"left"
"948","33_2","33","Male",24,"Stim\r05y28g23b30.jpeg","Stim\r08y23g10b29.jpeg",5,8,28,23,23,10,30,29,-2,-1,0,0,3.402,3.422,2,"rød","33_36",3,0,0,"Left_lead","Male","Female","stick",-0.107318490291677,0.230953005900399,1.10328637680018,"left"
"950","33_2","33","Male",24,"Stim\r08y12g20b03.jpeg","Stim\r03y03g02b05.jpeg",8,3,12,3,20,2,3,5,-2,1,0,1,2.586,2.167,2,"blå","33_36",2,0,1,"Left_lead","Male","Female","surrender",-0.107318490291677,0.230953005900399,1.10328637680018,"left"
"952","33_2","33","Male",24,"Stim\r20y14g02b19.jpeg","Stim\r14y10g15b15.jpeg",20,14,14,10,2,15,19,15,-2,-1,1,1,1.784,1.679,2,"blå","33_36",-4,0,0,"Left_lead","Male","Female","stick",-0.107318490291677,0.230953005900399,1.10328637680018,"left"
"956","33_2","33","Male",24,"Stim\r14y12g04b29.jpeg","Stim\r13y24g05b28.jpeg",14,13,12,24,4,5,29,28,-2,-1,1,1,2.57,1.161,2,"blå","33_36",-1,0,0,"Left_lead","Male","Female","stick",-0.107318490291677,0.230953005900399,1.10328637680018,"left"
"957","33_2","33","Male",24,"Stim\r14y08g21b39.jpeg","Stim\r10y13g07b36.jpeg",14,10,8,13,21,7,39,36,-1,1,1,0,2.545,1.661,2,"blå","33_36",-3,0,1,"Left_lead","Male","Female","surrender",-0.107318490291677,0.230953005900399,1.10328637680018,"left"
"959","33_2","33","Male",24,"Stim\r11y14g08b23.jpeg","Stim\r15y17g24b30.jpeg",11,15,14,17,8,24,23,30,3,1,1,1,1.212,1.595,2,"gul","33_36",3,1,1,"Left_lead","Male","Female","stick",-0.107318490291677,0.230953005900399,1.10328637680018,"left"
"960","33_2","33","Male",24,"Stim\r04y16g13b13.jpeg","Stim\r10y13g07b36.jpeg",4,10,16,13,13,7,13,36,-4,-1,1,1,1.25,1.011,2,"gul","33_36",-3,0,0,"Left_lead","Male","Female","stick",-0.107318490291677,0.230953005900399,1.10328637680018,"left"
"961","33_2","33","Male",24,"Stim\r20y14g02b19.jpeg","Stim\r14y10g15b15.jpeg",20,14,14,10,2,15,19,15,1,-1,0,1,1.566,2.746,2,"gul","33_36",-4,1,0,"Left_lead","Male","Female","surrender",-0.107318490291677,0.230953005900399,1.10328637680018,"left"
"963","33_2","33","Male",24,"Stim\r21y24g16b04.jpeg","Stim\r08y23g10b29.jpeg",21,8,24,23,16,10,4,29,-3,-1,1,1,1.314,1.45,2,"gul","33_36",-1,0,0,"Left_lead","Male","Female","stick",-0.107318490291677,0.230953005900399,1.10328637680018,"left"
"971","33_2","33","Male",24,"Stim\r21y24g16b04.jpeg","Stim\r04y16g13b13.jpeg",21,4,24,16,16,13,4,13,-3,-1,1,1,1.218,2.797,2,"grøn","33_36",-3,0,0,"Left_lead","Male","Female","stick",-0.107318490291677,0.230953005900399,1.10328637680018,"left"
"972","33_2","33","Male",24,"Stim\r09y15g18b07.jpeg","Stim\r10y27g22b14.jpeg",9,10,15,27,18,22,7,14,-2,-1,0,0,1.217,1.122,2,"grøn","33_36",4,0,0,"Left_lead","Male","Female","stick",-0.107318490291677,0.230953005900399,1.10328637680018,"left"
"974","33_2","33","Male",24,"Stim\r14y20g16b10.jpeg","Stim\r12y12g14b26.jpeg",14,12,20,12,16,14,10,26,-2,-1,1,1,0.869,0.963,2,"grøn","33_36",-2,0,0,"Left_lead","Male","Female","stick",-0.107318490291677,0.230953005900399,1.10328637680018,"left"
"976","33_2","33","Male",24,"Stim\r14y10g15b15.jpeg","Stim\r12y07g16b25.jpeg",14,12,10,7,15,16,15,25,-2,1,0,1,0.907,1.778,2,"grøn","33_36",1,0,1,"Left_lead","Male","Female","surrender",-0.107318490291677,0.230953005900399,1.10328637680018,"left"
"979","38_1","38","Female",22,"Stim\r17y20g40b07.jpeg","Stim\r15y05g12b10.jpeg",17,15,20,5,40,12,7,10,-2,1,1,0,1.202,5.224,1,"rød","38_39",-2,0,1,"Left_lead","Female","Male","surrender",-0.37417908429617,0.23760774019153,1.07422996492519,"left"
"983","38_1","38","Female",22,"Stim\r06y19g29b08.jpeg","Stim\r03y03g02b05.jpeg",6,3,19,3,29,2,8,5,-2,-1,1,1,2.818,2.366,1,"blå","38_39",-3,0,0,"Left_lead","Female","Male","stick",-0.37417908429617,0.23760774019153,1.07422996492519,"left"
"984","38_1","38","Female",22,"Stim\r10y07g11b10.jpeg","Stim\r13y21g23b09.jpeg",10,13,7,21,11,23,10,9,-2,-1,1,1,1.069,2.671,1,"blå","38_39",-1,0,0,"Left_lead","Female","Male","stick",-0.37417908429617,0.23760774019153,1.07422996492519,"left"
"986","38_1","38","Female",22,"Stim\r01y27g01b01.jpeg","Stim\r08y12g20b03.jpeg",1,8,27,12,1,20,1,3,-2,1,0,1,3.667,4.361,1,"blå","38_39",2,0,1,"Left_lead","Female","Male","surrender",-0.37417908429617,0.23760774019153,1.07422996492519,"left"
"988","38_1","38","Female",22,"Stim\r12y12g14b26.jpeg","Stim\r15y17g24b30.jpeg",12,15,12,17,14,24,26,30,-2,-1,0,0,1.221,3.225,1,"blå","38_39",4,0,0,"Left_lead","Female","Male","stick",-0.37417908429617,0.23760774019153,1.07422996492519,"left"
"989","38_1","38","Female",22,"Stim\r06y36g16b14.jpeg","Stim\r05y40g33b16.jpeg",6,5,36,40,16,33,14,16,-2,1,0,1,1.45,7.375,1,"blå","38_39",2,0,1,"Left_lead","Female","Male","surrender",-0.37417908429617,0.23760774019153,1.07422996492519,"left"
"992","38_1","38","Female",22,"Stim\r13y24g05b28.jpeg","Stim\r22y23g20b06.jpeg",13,22,24,23,5,20,28,6,2,-1,0,1,2.578,1.657,1,"gul","38_39",-1,1,0,"Left_lead","Female","Male","surrender",-0.37417908429617,0.23760774019153,1.07422996492519,"left"
"993","38_1","38","Female",22,"Stim\r04y39g24b15.jpeg","Stim\r10y37g07b02.jpeg",4,10,39,37,24,7,15,2,-2,1,1,0,2.16,4.071,1,"gul","38_39",-2,0,1,"Left_lead","Female","Male","surrender",-0.37417908429617,0.23760774019153,1.07422996492519,"left"
"994","38_1","38","Female",22,"Stim\r06y36g16b14.jpeg","Stim\r22y35g09b11.jpeg",6,22,36,35,16,9,14,11,-2,-1,1,1,2.121,1.636,1,"gul","38_39",-1,0,0,"Left_lead","Female","Male","stick",-0.37417908429617,0.23760774019153,1.07422996492519,"left"
"996","38_1","38","Female",22,"Stim\r19y15g35b05.jpeg","Stim\r06y14g31b25.jpeg",19,6,15,14,35,31,5,25,2,1,0,0,2.482,1.588,1,"grøn","38_39",-4,1,1,"Left_lead","Female","Male","stick",-0.37417908429617,0.23760774019153,1.07422996492519,"left"
"999","38_1","38","Female",22,"Stim\r01y27g01b01.jpeg","Stim\r05y09g02b34.jpeg",1,5,27,9,1,2,1,34,2,1,1,1,1.629,1.911,1,"grøn","38_39",1,1,1,"Left_lead","Female","Male","stick",-0.37417908429617,0.23760774019153,1.07422996492519,"left"
"1000","38_1","38","Female",22,"Stim\r09y17g32b21.jpeg","Stim\r12y09g30b18.jpeg",9,12,17,9,32,30,21,18,-2,-1,1,1,1.126,2.103,1,"grøn","38_39",-2,0,0,"Left_lead","Female","Male","stick",-0.37417908429617,0.23760774019153,1.07422996492519,"left"
"1001","37_2","37","Male",21,"Stim\r11y26g25b38.jpeg","Stim\r10y27g22b14.jpeg",11,10,26,27,25,22,38,14,2,-1,0,1,2.607,1.832,2,"rød","37_39",-1,1,0,"Left_lead","Male","Male","surrender",0.151739309349705,0.217024726252338,0.981512988399229,"left"
"1003","37_2","37","Male",21,"Stim\r17y22g16b15.jpeg","Stim\r13y21g23b09.jpeg",17,13,22,21,16,23,15,9,2,-1,0,1,2.242,1.28,2,"rød","37_39",-4,1,0,"Left_lead","Male","Male","surrender",0.151739309349705,0.217024726252338,0.981512988399229,"left"
"1006","37_2","37","Male",21,"Stim\r10y02g36b05.jpeg","Stim\r11y26g25b38.jpeg",10,11,2,26,36,25,5,38,-1,1,0,1,1.048,1.41,2,"rød","37_39",1,0,1,"Left_lead","Male","Male","surrender",0.151739309349705,0.217024726252338,0.981512988399229,"left"
