"","ID","age","gender","word","response","correct","rt","block","trial","condition","rt_log"
"147",2,25,"Female","Forældre","e",1,1.02961498001241,4,26,1,0.0291849265455428
"148",2,25,"Female","Camilla","i",1,0.568802757014055,4,27,1,-0.56422155343373
"149",2,25,"Female","Slægtninge","e",1,1.01261018399964,4,28,1,0.0125313377810365
"150",2,25,"Female","Hanne","i",1,0.492084308003541,4,29,1,-0.709105219439113
"151",2,25,"Female","Line","i",1,0.652498159994138,4,30,1,-0.42694695972162
"152",2,25,"Female","Virksomhed","i",1,0.847641085012583,4,31,1,-0.165297981591208
"153",2,25,"Female","Casper","e",1,0.691019564983435,4,32,1,-0.369587141601647
"154",2,25,"Female","Handel","i",1,0.739158693992067,4,33,1,-0.302242639555707
"155",2,25,"Female","Karriere","i",1,0.73284130601678,4,34,1,-0.31082609982982
"156",2,25,"Female","Ruth","i",1,0.66302934999112,4,35,1,-0.410936021312866
"157",2,25,"Female","Mette","i",1,0.638910158013459,4,36,1,-0.447991432277411
"158",2,25,"Female","Birthe","i",1,0.723270679998677,4,37,1,-0.323971742380604
"159",2,25,"Female","Jens","e",1,0.585402425000211,4,38,1,-0.535455762265881
"160",2,25,"Female","Sebastian","e",1,0.466832631005673,4,39,1,-0.761784477401756
"161",2,25,"Female","Forældre","e",1,0.572191540006315,4,40,1,-0.558281483504586
"162",2,25,"Female","Akademiker","e",1,0.506323281995719,6,3,0,-0.680579916477873
"163",2,25,"Female","Mette","i",1,0.471113586012507,6,4,0,-0.752656054777717
"164",2,25,"Female","Birthe","i",1,0.413895844016224,6,5,0,-0.882140921311387
"165",2,25,"Female","Casper","e",1,0.566666591010289,6,6,0,-0.567984171117202
"166",2,25,"Female","Forældre","i",1,1.07570807501907,6,7,0,0.0729791191851681
"167",2,25,"Female","Josefine","i",1,0.672529854986351,6,8,0,-0.39670877445978
"168",2,25,"Female","Birthe","i",1,0.407817686995259,6,9,0,-0.896935050043078
"169",2,25,"Female","Mette","i",1,0.488976002990967,6,10,0,-0.71544186434952
"170",2,25,"Female","Morten","e",1,0.711210962006589,6,11,0,-0.340786181506135
"171",2,25,"Female","Handel","e",1,0.526926421996905,6,12,0,-0.64069435689226
"172",2,25,"Female","Virksomhed","e",1,0.466425352991791,6,13,0,-0.762657286521463
"173",2,25,"Female","Hanne","i",1,0.456751000019722,6,14,0,-0.78361689430174
"174",2,25,"Female","Ledelse","e",1,1.07607493200339,6,16,0,0.0733200987232402
